Method,Direction,Accurate
Old,books-dvd,0.797898949474737
Old,books-elec,0.796796796796797
Old,books-kitchen,0.809404702351176
Old,dvd-books,0.799
Old,dvd-elec,0.808308308308308
Old,dvd-kitchen,0.819909954977489
Old,elec-books,0.75
Old,elec-dvd,0.753376688344172
Old,elec-kitchen,0.848924462231116
Old,kitchen-books,0.765
Old,kitchen-dvd,0.763381690845423
Old,kitchen-elec,0.825325325325325
New,books-dvd,0.803901950975488
New,books-elec,0.807307307307307
New,books-kitchen,0.824912456228114
New,dvd-books,0.8085
New,dvd-elec,0.813313313313313
New,dvd-kitchen,0.83191595797899
New,elec-books,0.771
New,elec-dvd,0.753376688344172
New,elec-kitchen,0.849924962481241
New,kitchen-books,0.7785
New,kitchen-dvd,0.769884942471236
New,kitchen-elec,0.833333333333333
