Method,Direction,Accurate
Old,books-dvd,0.633316658329165
Old,books-elec,0.647647647647648
Old,books-kitchen,0.660330165082541
Old,dvd-books,0.6575
Old,dvd-elec,0.627127127127127
Old,dvd-kitchen,0.642821410705353
Old,elec-books,0.6055
Old,elec-dvd,0.621310655327664
Old,elec-kitchen,0.658329164582291
Old,kitchen-books,0.629
Old,kitchen-dvd,0.588794397198599
Old,kitchen-elec,0.692692692692693
New,books-dvd,0.662831415707854
New,books-elec,0.677177177177177
New,books-kitchen,0.661830915457729
New,dvd-books,0.667
New,dvd-elec,0.688188188188188
New,dvd-kitchen,0.67583791895948
New,elec-books,0.6285
New,elec-dvd,0.631815907953977
New,elec-kitchen,0.686843421710855
New,kitchen-books,0.6385
New,kitchen-dvd,0.607303651825913
New,kitchen-elec,0.700700700700701
