Method,Direction,Accurate
Old,books-dvd,0.656828414207104
Old,books-elec,0.653153153153153
Old,books-kitchen,0.657828914457229
Old,dvd-books,0.6585
Old,dvd-elec,0.652152152152152
Old,dvd-kitchen,0.656828414207104
Old,elec-books,0.6375
Old,elec-dvd,0.639319659829915
Old,elec-kitchen,0.708354177088544
Old,kitchen-books,0.63
Old,kitchen-dvd,0.616308154077039
Old,kitchen-elec,0.713213213213213
New,books-dvd,0.686343171585793
New,books-elec,0.681181181181181
New,books-kitchen,0.641320660330165
New,dvd-books,0.684
New,dvd-elec,0.675675675675676
New,dvd-kitchen,0.693346673336668
New,elec-books,0.632
New,elec-dvd,0.659329664832416
New,elec-kitchen,0.710355177588794
New,kitchen-books,0.6495
New,kitchen-dvd,0.641320660330165
New,kitchen-elec,0.727727727727728
