Method,Direction,Accurate
Old,books-dvd,0.763381690845423
Old,books-elec,0.785285285285285
Old,books-kitchen,0.779889944972486
Old,dvd-books,0.7645
Old,dvd-elec,0.777777777777778
Old,dvd-kitchen,0.8064032016008
Old,elec-books,0.7335
Old,elec-dvd,0.739869934967484
Old,elec-kitchen,0.819909954977489
Old,kitchen-books,0.7395
Old,kitchen-dvd,0.731365682841421
Old,kitchen-elec,0.807307307307307
New,books-dvd,0.769384692346173
New,books-elec,0.802302302302302
New,books-kitchen,0.792896448224112
New,dvd-books,0.784
New,dvd-elec,0.794294294294294
New,dvd-kitchen,0.811905952976488
New,elec-books,0.7535
New,elec-dvd,0.759379689844922
New,elec-kitchen,0.826913456728364
New,kitchen-books,0.761
New,kitchen-dvd,0.742371185592796
New,kitchen-elec,0.814814814814815
