Method,Direction,Accurate
Old,books-dvd,78.1390695347674
Old,books-elec,76.8268268268268
Old,books-kitchen,79.83991995998
Old,dvd-books,78.35
Old,dvd-elec,75.7257257257257
Old,dvd-kitchen,79.7898949474737
Old,elec-books,72.75
Old,elec-dvd,72.7863931965983
Old,elec-kitchen,83.591795897949
Old,kitchen-books,74.8
Old,kitchen-dvd,74.4872436218109
Old,kitchen-elec,81.7817817817818
New,books-dvd,79.1395697848924
New,books-elec,78.1281281281281
New,books-kitchen,80.8904452226113
New,dvd-books,80
New,dvd-elec,78.1281281281281
New,dvd-kitchen,80.0900450225113
New,elec-books,75.3
New,elec-dvd,73.8869434717359
New,elec-kitchen,83.9419709854927
New,kitchen-books,76.75
New,kitchen-dvd,74.9874937468734
New,kitchen-elec,82.4824824824825
