Method,Direction,Accurate
Old,books-dvd,77.9389694847424
Old,books-elec,75.8258258258258
Old,books-kitchen,77.1385692846423
Old,dvd-books,77.7
Old,dvd-elec,75.8258258258258
Old,dvd-kitchen,77.9389694847424
Old,elec-books,74.55
Old,elec-dvd,73.2866433216608
Old,elec-kitchen,83.2916458229114
Old,kitchen-books,72.8
Old,kitchen-dvd,73.1365682841421
Old,kitchen-elec,80.8308308308308
New,books-dvd,78.3891945972987
New,books-elec,76.026026026026
New,books-kitchen,78.4892446223112
New,dvd-books,79.55
New,dvd-elec,78.3283283283283
New,dvd-kitchen,79.4897448724362
New,elec-books,75.1
New,elec-dvd,73.5367683841921
New,elec-kitchen,83.0415207603802
New,kitchen-books,74.7
New,kitchen-dvd,74.2871435717859
New,kitchen-elec,82.1821821821822
