Method,Direction,Accurate
Old,books-dvd,0.668334167083542
Old,books-elec,0.661161161161161
Old,books-kitchen,0.654827413706853
Old,dvd-books,0.6705
Old,dvd-elec,0.667667667667668
Old,dvd-kitchen,0.665332666333167
Old,elec-books,0.644
Old,elec-dvd,0.657328664332166
Old,elec-kitchen,0.71135567783892
Old,kitchen-books,0.6365
Old,kitchen-dvd,0.639319659829915
Old,kitchen-elec,0.731731731731732
New,books-dvd,0.71135567783892
New,books-elec,0.678178178178178
New,books-kitchen,0.658829414707354
New,dvd-books,0.701
New,dvd-elec,0.695195195195195
New,dvd-kitchen,0.681340670335168
New,elec-books,0.6635
New,elec-dvd,0.681340670335168
New,elec-kitchen,0.738869434717359
New,kitchen-books,0.666
New,kitchen-dvd,0.659829914957479
New,kitchen-elec,0.747247247247247
