Method,Direction,Accurate
Old,books-dvd,0.658329164582291
Old,books-elec,0.646146146146146
Old,books-kitchen,0.655827913956978
Old,dvd-books,0.682
Old,dvd-elec,0.661161161161161
Old,dvd-kitchen,0.654827413706853
Old,elec-books,0.6425
Old,elec-dvd,0.661830915457729
Old,elec-kitchen,0.72336168084042
Old,kitchen-books,0.653
Old,kitchen-dvd,0.649324662331166
Old,kitchen-elec,0.72972972972973
New,books-dvd,0.697348674337169
New,books-elec,0.662162162162162
New,books-kitchen,0.665832916458229
New,dvd-books,0.709
New,dvd-elec,0.692192192192192
New,dvd-kitchen,0.67383691845923
New,elec-books,0.664
New,elec-dvd,0.68384192096048
New,elec-kitchen,0.746873436718359
New,kitchen-books,0.6715
New,kitchen-dvd,0.659329664832416
New,kitchen-elec,0.752752752752753
